CID;child hand;child head;child body;child_gesture type;child vocal;child_speech;AID;adult hand;adult head;adult body;adult_gesture type;adult vocal;adult_speech
C1;;;;;;;A1;;HdA;;NR;narration: sentence;sentence
C1;;;;;;;A1;;HdA;;CO;"negation: ""non""";word
C1;;;;;;;A1;;HdA;;NR;reflecting: sentence;sentence
C1;;;;;;;A1;;HdA;;NR;clarification: sentence;
C1;;;;;;;A1;;HdA;;CO;confirmation: no sppech+ laughter;no speech
C1;;;;;;;A1;;HdA;;NR;"affirmation: ""oui! bravo!""";word
C1;;;;;;;A1;;HdA;;NR;affirmation: no speech+ laughter;no speech
C1;;;;;;;A1;;HdA;;CO;confirmation: no speech;no speech
C1;;;;;;;A1;;HdA;;NR;question: sentence;sentence
C1;;;;;;;A1;;HdA;;CO;"confirmation: no speech""";no speech
C1;;;;;;;A1;;HdA;;NR;confirmation: sentence;sentence
C1;;;;;;;A1;;HdA;;NR;clarification: sentence;sentence
C1;;HdC;;CO;"affirmation: ""ouais""";word;A1;;;;;;
C1;;;;;;;A1;;HdA;;NR;clarification: sentence;sentence
C1;;;;;;;A1;;HdA;;CO;affirmation: no speech;no speech
C1;;;;;;;A1;;HdA;;CO;affirmation: no speech;no speech
C1;;;;;;;A1;;HdA;;NR;turn giving: end of sentenece;end
C1;;HdC;;CO;"affirmation: ""oui"" + laughter";word;A1;;;;;;
C1;;;;;;;A1;;HdA;;CO;confirmation: no speech+ laughter;no speech
C1;;;;;;;A1;;HdA;;CO;"negation: ""non, pas du tout""";word
C1;;;;;;;A1;;HdA;;CO;"negation: ""non, pas dutout""";word
C1;;;;;;;A1;;HdA;;CO;"affirmation: ""oui""";word
C1;;;;;;;A1;;HdA;;CO;affirmation: no speech;no speech
C1;;;;;;;A1;;HdA;;CO;affirmation: no speech;no speech
C1;;HdC;;CO;question: sentence;sentence;A1;;;;;;
C1;;;;;;;A1;;HdA;;NR;clarification: sentence;sentence
C1;;;;;;;A1;;HdA;;NR;reflecting: no speech;no speech
C1;;;;;;;A1;;HdA;;NR;reflecting: no speech;no speech
C1;;;;;;;A1;;HdA;;NR;reciprocation: no speech;no speech
C1;;HdC;;NR;reflecting: no speech;no speech;A1;;;;;;
C1;;;;;;;A1;;HdA;;NR;reflecting: no speech;no speech
C1;;;;;;;A1;;HdA;;CO;"affirmation: ""oui""";word
C1;;;;;;;A1;;HdA;;CO;"affirmation: ""oui""";word
C1;;;;;;;A1;;HdA;;NR;reflecting: no speech;no speech
C1;;;;;;;A1;;HdA;;CO;"affirmation: ""ah oui""";word
C1;;;;;;;A1;;HdA;;CO;"affirmation: ""oui""";word
C1;;HdC;;CO;"affirmation: ""oui, d'accord""";word;A1;;;;;;
C1;;HdC;;CO;affirmation: no speech;no speech;A1;;;;;;
C1;;HdC;;CO;"negation: ""non"" + laughter";word;A1;;;;;;
C1;;HdC;;CO;"affirmation: ""oui""+ laughter";word;A1;;;;;;
C1;;;;;;;A1;;HdA;;CO;"negation: ""non""";word
C1;;;;;;;A1;;HdA;;NR;clarification: sentence;sentence
C1;;;;;;;A1;;HdA;;CO;confirmation: no speech;no speech
C1;;;;;;;A1;;HdA;;NR;"negation: ""non""";word
C1;;HdC;;NR;mockery: no speech;no speech;A1;;;;;;
C1;;;;;;;A1;;HdA;;CO;"affirmation: ""oui""";word
C1;;;;;;;A1;;HdA;;NR;reflecting: no speech;no speech
C1;;HdC;;NR;negation: no speech;no speech;A1;;;;;;
C1;;HdC;;CO;"negation: ""non""";word;A1;;;;;;
C1;;HdC;;CO;anticipation: another sentence;other;A1;;;;;;
C1;;;;;;;A1;;HdA;;CO;"negation: ""non, pas du tout""";word
C1;;;;;;;A1;;HdA;;NR;reflecting: sentence;sentence
C1;;;;;;;A1;;HdA;;NR;clarification: sentence;sentence
C1;;;;;;;A1;;HdA;;NR;clarification: sentence;sentence
C1;;HdC;;CO;negation: another sentence;other;A1;;;;;;
C1;;;;;;;A1;;HdA;;NR;"clarification: ""uh""";vocal
C1;;HdC;;CO;negation: another sentence;other;A1;;;;;;
C1;;;;;;;A1;;HdA;;NR;"clarification: ""ah oui""";word
C1;;;;;;;A1;;HdA;;CO;"negation: ""non""";word
C1;;;;;;;A1;;HdA;;NR;reciprocation: no speech;no speech
C1;;HdC;;NR;clarification: sentence;sentence;A1;;;;;;
C1;;;;;;;A1;;HdA;;CO;"negation: ""non""";word
C1;;;;;;;A1;;HdA;;NR;clarification: sentence;sentence
C1;;;;;;;A1;;HdA;;NR;clarification: sentence;sentence
C1;;;;;;;A1;;HdA;;CO;"affirmation: ""oui""";word
C1;;;;;;;A1;;HdA;;CO;"negation: ""non""";word
C1;;;;;;;A1;;HdA;;CO;"negation: ""ah non""";word
C1;;;;;;;A1;;HdA;;NR;clarification: sentence;sentence
C1;;;;;;;A1;;HdA;;CO;"affirmation: ""oui""";word
C1;;;;;;;A1;;HdA;;CO;"affirmation: ""oui""";word
C1;;;;;;;A1;;HdA;;CO;"negation: ""non""";word
C1;;;;;;;A1;;HdA;;CO;"affirmation: ""tout à fait""";word
C1;;;;;;;A1;;HdA;;CO;confirmation: another sentence;other
C1;HC;;;NR;exclamation+laughter;no speech;A1;;;;;;
C1;;;;;;;A1;;HdA;;CO;confirmation: no speech;no speech
C1;;;;;;;A1;;HdA;;NR;confirmation: no speech;no speech
C1;HC;;;CO;describe action: no speech;no speech;A1;;;;;;
C1;;;;;;;A1;;HdA;;NR;"confirmation: ""voilà""";word
C1;;;;;;;A1;;HdA;;CO;confirmation: no speech;no speech
C1;HC;;;NR;question: sentence;sentence;A1;;;;;;
C1;;;;;;;A1;;HdA;;CO;"affirmation: ""aah""";word
C1;HC;;;NR;"negation: ""no""";word;A1;;;;;;
C1;HC;;;NR;"negation: ""no""";word;A1;;;;;;
C1;;;;NR;"reflecting: ""mmmm""";vocal;A1;;;;;;
C1;HC;;;;;;A1;;;;;;
C1;;HdC;;CO;"affirmative: ""oui""";word;A1;;;;;;
C1;HC;;;NR;"negation: ""non"" = laughter";word;A1;;;;;;
C1;HC;;;NR;"negation: ""non""";word;A1;;;;;;
C1;;HdC;;CO;negation: no speech;no speech;A1;;;;;;
C1;;HdC;;NR;reflecting : no speech;no speech;A1;;;;;;
C1;;HdC;;CO;negation: no speech;no speech;A1;;;;;;
C1;;HdC;;NR;clarification: sentence;sentence;A1;;;;;;
C1;HC;;;NR;clarification: sentence;sentence;A1;;;;;;
C1;;;;NR;turn giving: end of sentence;end;A1;;;;;;
C1;HC;;;;;;A1;;;;;;
C1;;HdC;;CO;negation: end of sentence;end;A1;;;;;;
C1;HC;;;NR;laughter: no speech;no speech;A1;;;;;;
C1;;;;;;;A1;;HdA;;NR;confirmation: sentence;sentence
C1;HC;;;NR;n: sentence;sentence;A1;;;;;;
C1;;;;;;;A1;;HdA;;NR;confirmation: sentence;sentence
C1;HC;;;NR;laughter: no speech;no speech;A1;;;;;;
C1;;;;;;;A1;;HdA;;NR;confirmation: sentnece;sentence
C1;;HdC;;NR;sentence;sentence;A1;;;;;;
C1;;HdC;;NR;narrration: sentence;sentence;A1;;;;;;
C1;;;;;;;A1;;HdA;;NR;negation: sentence;sentence
C1;;;BC;;;;A1;;;;;;
C1;;;;NR;;;A1;;;;;;
C1;;;;;reflecting: no speech;no speech;A1;;;;;;
C1;;HdC;;;;;A1;;;;;;
C1;;;;;negation: no speech;no speech;A1;;;;;;
C1;HC;;;NR;;;A1;;;;;;
C1;;;;;negation: no speech;no speech;A1;;;;;;
C1;;;;;;;A1;;HdA;;CO;"confirmation: ""okay""";word
C1;;;;;;;A1;;;;;confirmation: sentence;sentence
C1;;;;;;;A1;; HdA;;NR;;
C1;;;;;;;A1;;HdA;;NR;confirmation: sentence;sentence
C1;HC;;;NR;laughter: no speech;no speech;A1;;;;;;
C1;;;;;;;A1;;HdA;;NR;negation: sentence;sentence
C1;;;;;;;A1;;HdA;;CO;"affirmation: ""ouais""";word
C1;;;;;;;A1;;HdA;;NR;giving turn: end of sentence;end
C1;;HdC;;NR;negotiation: sentence;sentence;A1;;;;;;
C1;;;;;;;A1;;HdA;;CO;"affirmation: ""vas y""";word
C1;;;;;;;A1;;HdA;;NR;confirmation: no speech;no speech
C1;HC;;;I;"place holder for a country: ""près d'ici quoi""";word;A1;;;;;;
C1;;;;;;;A1;;HdA;;NR;confirmation: no speech;no speech
C1;;;;;;;A1;;HdA;;NR;negation: sentence;sentence
C1;;;;;;;A1;;HdA;;CO;"affirmation: ""oui""";word
C1;;;;;;;A1;;HdA;;NR;confirmation: sentence;sentence
C1;;;;;;;A1;;HdA;;CO;"affirmation: ""oui""";word
C1;;;;;;;A1;;HdA;;NR;reflecting: no speech;no speech
C1;;;;;;;A1;;HdA;;NR;reflecting: no speech;no speech
C1;;;;;;;A1;;HdA;;CO;"negation: ""non""";word
C1;;;;;;;A1;;HdA;;CO;"negation: ""pas du tout""";word
C1;;;;;;;A1;;HdA;;CO;"negation: ""pas du tout""";word
C1;;;;;;;A1;;HdA;;NR;confirmation: sentence;sentence
C1;;;;;;;A1;;HdA;;CO;"negation: ""non""";word
C1;;;;;;;A1;;HdA;;NR;reflecting: sentence;sentence
C1;;;;;;;A1;;HdA;;CO;negation: sentnece;sentence
C1;;;;;;;A1;;HdA;;NR;confirmation: sentence;sentence
C1;;;;;;;A1;;HdA;;NR;confirmation: sentence;sentence
C1;;;;;;;A1;;HdA;;NR;confirmation: sentence;sentence
C1;;;;;;;A1;;HdA;;CO;"affirmation: ""ah oui""";word
C1;;;;;;;A1;;HdA;;CO;"affirmation: ""tout à fait""";word
C1;;;;;;;A1;;HdA;;CO;"affirmation: ""oui""";word
C1;;;;;;;A1;;HdA;;NR;confirmation: sentence;sentence
C1;HC;;;I;"place holder for a ountry: ""un pays""";word;A1;;;;;;
C1;;;;;;;A1;;HdA;;NR;reflecting: sentence;sentence
C1;;;;;;;A1;HA;;;I;"description: ""pays, c'est pas vraiment...""";word
C1;;;;;;;A1;HA;;;NR;narration: sentence;sentence
C1;;;;;;;A1;HA;;;I;"describe action: ""touché""";word
C1;;;;;;;A1;;HdA;;NR;n: sentence;sentence
C1;;;;;;;A1;HA;;;NR;question: sentence;sentence
C1;;;;;;;A1;;HdA;;CO;"affirmation: ""oui""";word
C1;;;;;;;A1;HA;;;;;
C1;;;;;;;A1;;;;NR;clarification: sentence;sentence
C1;;HdC;;NR;narration: sentence;sentence;A1;;;;;;
C1;;HdC;;CO;"confirmation: ""oui""";word;A1;;;;;;
C1;;HdC;;CO;"negation: ""mmm non""";word;A1;;;;;;
C1;;;;;;;A1;;HdA;;NR;reflecting: no speech;no speech
C1;;HdC;;CO;"negation: ""non""";word;A1;;;;;;
C1;;HdC;;CO;"negation: ""non""";word;A1;;;;;;
C1;;;;;;;A1;;HdA;;NR;reflecting: sentence;sentence
C1;;HdC;;CO;"negation: ""non""";word;A1;;;;;;
C1;;HdC;;CO;"negation: ""non""";word;A1;;;;;;
C1;;;;;;;A1;;HdA;;CO;negation: another sentence;other
C1;;HdC;;CO;negation: another sentence;other;A1;;HdA;;CO;"affirmation: ""oui""";word
C1;;HdC;;CO;"negation: ""non""";word;A1;;HdA;;NR;clarification: sentence;sentence
C1;;HdC;;CO;"negation: ""no"" + sentence";word;A1;;;;;;
C1;;HdC;;CO;affirmation: no speech;no speech;A1;;;;;;
C1;;HdC;;CO;affirmation: no speech;no speech;A1;;;;;;
C1;;;;;;;A1;HA;;;NR;suggestion: sentence;sentence
C1;;HdC;;CO;"affirmation: ""oui"" + sentence";word;A1;;;;;;
C1;;HdC;;CO;"confirmation: ""oui ah oui oui oui""";word;A1;;;;;;
C1;;;;;;;A1;;HdA;;CO;"confirmation: ""oui""";word
C1;;HdC;;CO;"affirmation: ""oui""";word;A1;;;;;;
C1;;;;;;;A1;;HdA;;CO;confirmation: no speech;no speech
C1;;;BC;NR;clarification: no speech;no speech;A1;;;;;;
C1;;;;;;;A1;;HdA;;NR;confirmation: sentence;sentence
C1;;HdC;;CO;"negation: ""non""+ laughter";word;A1;;;;;;
C1;;HdC;;CO;"negation: ""ben oooi""";word;A1;;;;;;
C1;;HdC;;CO;"affirmation: ""oui""";word;A1;;;;;;
C1;;;;;;;A1;;HdA;;NR;confirmation: sentence;sentence
C1;;HdC;;NR;refleting: no speech;no speech;A1;;;;;;
C1;;;;;;;A1;;HdA;;NR;confirmation: no speech;no speech
C1;;HdC;;NR;clarification: sentence;sentence;A1;;;;;;
C1;HC;;;I;"describe object: ""comme ça, comme ça""";word;A1;;;;;;
C1;;HdC;;CO;"negation: ""non""";no speech;A1;;;;;;
C1;HC;;;CO;"describe action: ""attends""";;A1;;;;;;
C1;HC;;;;;;A1;;;;;;
C1;;;;D;"response: ""si""";word;A1;;;;;;
C1;;;;NR;"clarification: ""pas en vrai""";sentence;A1;;;;;;
C1;HC;;;;;;A1;;;;;;
C1;;;;;;;A1;;HdA;;NR;reflecting: sentence;sentence
C1;HC;;;NR;"negation: ""non, mais ...""";word;A1;;;;;;
C1;;;;;;;A1;;HdA;;NR;confirmation: sentence;sentence
C1;HC;;BC;NR;"clarification; alors que...";sentence;A1;;;;;;
C1;;;;;;;A1;;HdA;;NR;confirmation: sentence;sentence
C1;;;;;;;A1;;HdA;;NR;confirmation: sentence;sentence
C1;;HdC;;CO;negation: no speech;no speech;A1;;;;;;
C1;;HdC;;CO;"negation: ""no""";word;A1;;;;;;
C1;;HdC;;CO;"negation: ""pas du tout""";word;A1;;;;;;
C1;;;;;;;A1;;HdA;;CO;negation: no speech;no speech
C1;;;;;;;A1;;HdA;;CO;"affirmation: 'ouais""";word
C1;;;;;;;A1;;HdA;;NR;"confirmation: ""indice""";word
C1;;;;;;;A1;;HdA;;NR;confirmation: sentence;sentence
C1;;;;;;;A1;;HdA;;NR;suggestion: no speech;no speech
C1;;;;;;;A1;HA;;;D;suggestion: no speech;no speech
C1;;;;;;;A1;;HdA;;NR;suggestion: sentence;sentence
C1;;;;;;;A1;HA;;;NR;realisation: sentence;sentence
C1;;HdC;;CO;"affirmation: ""oui""";word;A1;;;;;;
C1;;;;;;;A1;;HdA;;CO;confirmation: no speech;no speech
C1;;;;;;;A1;;;;;;
C1;;;;;;;A1;;HdA;;NR;clarification: sentence;sentence
C1;;;;;;;A1;HA;;;D;"share attention: ""ça""";word
C1;;HdC;;CO;"negation: ""no""";word;A1;;;;;;
C1;;HdC;;CO;"negation: ""pas du tout""";word;A1;;;;;;
C1;;;;;;;A1;;;;;;
C1;;;;;;;A1;;;;;;
C1;;;;;;;A1;;;;;;
C1;;;;;;;A1;;;;;;
C1;;;;;;;A1;;;;;;
C1;;;;;;;A1;;;;;;
C1;;;;;;;A1;;;;;;
C1;;;;;;;A1;;;;;;
C1;;HdC;;CO;"affirmation: ""oui""";word;A1;;;;;;
C1;;HdC;;CO;"affirmation: ""oui""";word;A1;;;;;;
C1;;;;;;;A1;;;;;;
C1;;;;;;;A1;;;;;;
C5;;;;;;;A5;HA;;;I;"description: ""c'est dehors""";word
C5;;HdC;;CO;"confirmation: ""ah oui""";word;A5;;;;;;
C5;HC;;;;;;A5;;;;;;
C5;;;;D;confirmation: no speech;no speech;A5;;;;;;
C5;;HdC;;CO;"affirmation: ""oui""";word;A5;;;;;;
C5;;;;;;;A5;;HdA;;CO;confirmation: no speech;no speech
C5;HC;;;NR;exclamation: no speech;no speech;A5;;;;;;
C5;;;;;;;A5;;HdA;;CO;"negation: ""non""";word
C5;;HdC;;CO;negation: another sentence;other;A5;;;;;;
C5;;;;;;;A5;HA;;;I;"describe: ""mm presque""";word
C5;;HdC;;CO;negation: another sentence;other;A5;;;;;;
C5;;;;;;;A5;HA;;;NR;clarification: sentence;sentence
C5;;;;;;;A5;HA;;;D;"indicate: ""sur soi""";word
C5;;;;;;;A5;;HdA;;CO;"affirmation: ""ouais""";word
C5;HC;;;NR;exclamation: no speech+laughter;no speech;A5;;;;;;
C5;HC;;;NR;exclamation: sentence;sentence;A5;;;;;;
C5;;HdC;;CO;"negation: ""non""";word;A5;;;;;;
C5;;HdC;;CO;negation: no speech;no speech;A5;;;;;;
C5;;HdC;;CO;affirmation: no speech;no speech;A5;;;;;;
C5;;;;;;;A5;HA;;;D;"indicate: ""c'est le ...""";word
C5;HC;;;NR;"exclamation: ""ah oui!""+ laughter";word;A5;;;;;;
C5;;;;;;;A5;;HdA;;CO;"negation: ""non""";word
C5;;;;;;;A5;;HdA;;CO;negation: no speech;no speech
C5;;;;;;;A5;;HdA;;NR;clarification: sentence;sentence
C5;;;;;;;A5;;HdA;;NR;clarification: sentence;sentence
C5;;;;;;;A5;;HdA;;NR;exclamation: sentence;sentence
C5;;;;;clarification: no speech;no speech;A5;;;;;;
C5;;HC;;NR;;;A5;;;;;;
C5;;;BC;;clarification: no speech;no speech;A5;;;;;;
C5;;;;NR;;;A5;;;;;;
C5;HC;;;D;"clarification: ""et les ..""";sentence;A5;;;;;;
C5;;;;;;;A5;;HdA;;CO;"affirmation: ""ouais""";word
C5;;;;;;;A5;HA;;;;;
C5;;HdC;;CO;"negation: ""non""";word;A5;;;;D;"indicate: ""une ...""";word
C5;;;;;;;A5;;;;;;
C5;;;;;;;A5;HA;;;CO;"counting: ""trois""";word
C5;;;;;;;A5;HA;;;D;"indicate: ""tu regarde là""";word
C5;;;;;;;A5;HA;;;D;indicate: anoter sentence;other
C5;;;;;;;A5;;HdA;;CO;confirmation: no speech;no speech
C5;;;;;;;A5;HA;;;I;"describe: ""plus large""";word
C5;;;;;;;A5;;HdA;;CO;"affirmation: ""ouais""";word
C5;;;;;;;A5;;;;CO;"negation: ""non""";word
C5;;;;;;;A5;;HdA;;;;
C5;;;;;;;A5;HA;;;NR;confirmation: sentence;sentence
C5;;;;;;;A5;;HdA;;CO;negation: no speech;no speech
C5;;;;;;;A5;;HdA;;CO;negation: no speech;no speech
C5;;;;;;;A5;HA;;;I;describe: another sentence;other
C5;;;;;;;A5;HA;;;NR;clarification: sentence;sentence
C5;;;;;;;A5;HA;;;I;"describe: ""dessin animé""";word
C5;;;;;;;A5;HA;;;NR;giving turn: end of sentence;end
C5;;;;;;;A5;;HdA;;NR;clarification: sentence;sentence
C5;;;;;;;A5;HA;;;NR;"exclamation: ""awwwh""";word
C5;;;;;;;A5;HA;;;CO;counting : sentence;sentence
C5;;;;;;;A5;HA;;;CO;counting: sentence;sentence
C5;;;;;;;A5;HA;;;NR;reflecting: sentence;sentence
C5;;;;;;;A5;;HdA;;CO;negation: another sentence;other
C5;;;;;;;A5;;HdA;;CO;negation: no speech;no speech
C5;;;;;;;A5;;HdA;;NR;clarification: sentence;sentence
C5;;;;;;;A5;;HdA;;CO;negation: no speech;no speech
C5;;;;;;;A5;;HdA;;CO;"affirmation: ""ouais""";word
C5;;;;;;;A5;HA;;;I;"describe: ""espèce""";word
C5;;;;;;;A5;;HdA;;NR;clarification: sentence;sentence
C5;;;;;;;A5;HA;;;NR;giving turn: end of sentence;end
C5;;;;;;;A5;HA;;;NR;giving turn: end of sentence;end
C5;;;;;;;A5;;HdA;;NR;"exclamation: ""voilà""";word
C5;;HdC;;CO;negation: no speech;no speech;A5;HA;;;;;
C5;;;;;;;A5;;;;NR;"exclation: ""voilà""";word
C5;;;;;;;A5;HA;;;NR;exclamation: sentence+laughter;sentence
C5;;;;;;;A5;;;;;;
C5;;HdC;;CO;negation: no speech;no speech;A5;HA;;;NR;narration: sentence;sentence
C5;;HdC;;NR;reflecting: no speech;no speech;A5;;HdA;;D;indication: no speech;no speech
C5;;HdC;;CO;"affirmation: ""oui""";word;A5;;HdA;;CO;negation: no speech;no speech
C5;;;;;;;A5;;;;CO;;
C5;;HdC;;CO;negation: no speech;no speech;A5;;;;;;
C5;;HdC;;CO;"negation: ""non non""";word;A5;;;;;;
C5;;;;;;;A5;;HdA;;NR;clarification: sentence;sentence
C5;;;;;;;A5;;;;;;
C5;;HdC;;CO;affirmation: no speech+vocalisation ;no speech;A5;;;;;;
C5;;HdC;;NR;negation: sentence;sentence;A5;;HdA;;NR;giving turn: end of the sentence;end
C5;;HdC;;CO;negation: no speech;no speech;A5;;HdA;;NR;reflecting: no speech;no speech
C5;;HdC;;CO;affirmation: no speech;no speech;A5;;;;;;
C5;;HdC;;CO;negation: no speech+vocalisation;no speech;A5;;;;;;
C5;;;;;;;A5;;;;;;
C5;;HdC;;CO;affirmation: no speech;no speech;A5;;;;;;
C5;;HdC;;CO;negation: no speech;no speech;A5;;;;;;
C5;;HdC;;CO;negation: no speech;no speech;A5;HA;;;CO;counting: sentence;sentence
C5;HC;;;I;"describe object: ""gros""";word;A5;;;;;;
C5;;;;;;;A5;;;;;;
